id INTEGER PRIMARY KEY,county_code INTEGER,county_name VARCHAR(50),state VARCHAR(2),country VARCHAR(3)
1,0101001,Autauga,AL,US
2,0101003,Baldwin,AL,US
3,0101005,Barbour,AL,US
4,0101007,Bibb,AL,US
5,0101009,Blount,AL,US
6,0101011,Bullock,AL,US
7,0101013,Butler,AL,US
8,0101015,Calhoun,AL,US
9,0101017,Chambers,AL,US
10,0101019,Cherokee,AL,US
11,0101021,Chilton,AL,US
12,0101023,Choctaw,AL,US
13,0101025,Clarke,AL,US
14,0101027,Clay,AL,US
15,0101029,Cleburne,AL,US
16,0101031,Coffee,AL,US
17,0101033,Colbert,AL,US
18,0101035,Conecuh,AL,US
19,0101037,Coosa,AL,US
20,0101039,Covington,AL,US
21,0101041,Crenshaw,AL,US
22,0101043,Cullman,AL,US
23,0101045,Dale,AL,US
24,0101047,Dallas,AL,US
25,0101049,De Kalb,AL,US
26,0101051,Elmore,AL,US
27,0101053,Escambia,AL,US
28,0101055,Etowah,AL,US
29,0101057,Fayette,AL,US
30,0101059,Franklin,AL,US
31,0101061,Geneva,AL,US
32,0101063,Greene,AL,US
33,0101065,Hale,AL,US
34,0101067,Henry,AL,US
35,0101069,Houston,AL,US
36,0101071,Jackson,AL,US
37,0101073,Jefferson,AL,US
38,0101075,Lamar,AL,US
39,0101077,Lauderdale,AL,US
40,0101079,Lawrence,AL,US
41,0101081,Lee,AL,US
42,0101083,Limestone,AL,US
43,0101085,Lowndes,AL,US
44,0101087,Macon,AL,US
45,0101089,Madison,AL,US
46,0101091,Marengo,AL,US
47,0101093,Marion,AL,US
48,0101095,Marshall,AL,US
49,0101097,Mobile,AL,US
50,0101099,Monroe,AL,US
51,0101101,Montgomery,AL,US
52,0101103,Morgan,AL,US
53,0101105,Perry,AL,US
54,0101107,Pickens,AL,US
55,0101109,Pike,AL,US
56,0101111,Randolph,AL,US
57,0101113,Russell,AL,US
58,0101115,St Clair,AL,US
59,0101117,Shelby,AL,US
60,0101119,Sumter,AL,US
61,0101121,Talladega,AL,US
62,0101123,Tallapoosa,AL,US
63,0101125,Tuscaloosa,AL,US
64,0101127,Walker,AL,US
65,0101129,Washington,AL,US
66,0101131,Wilcox,AL,US
67,0101133,Winston,AL,US
68,0150105,Hoonah-Angoon,AK,US
69,0150013,Aleutians East,AK,US
70,0150016,Aleutians West,AK,US
71,0150020,Anchorage,AK,US
72,0150050,Bethel,AK,US
73,0150060,Bristol Bay,AK,US
74,0150068,Denali,AK,US
75,0150070,Dillingham,AK,US
76,0150090,Fairbanks North Star,AK,US
